trial,circle_radius,circle_center_x,circle_center_y,time_taken,errors
1,20,200,300,0.9635822772979736,0
2,10,200,200,0.8616671562194824,0
3,30,200,400,0.8665752410888672,0
4,40,400,100,0.8181829452514648,0
5,30,100,200,0.8609886169433594,0
6,30,200,300,0.7821338176727295,0
7,20,300,200,0.939669132232666,0
8,30,100,400,0.9682092666625977,0
